elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
6438,13.1,6533742592,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
6547,7.6,6533742592,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
6658,10.3,6533742592,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
6770,13.1,6533742592,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
6880,14.9,6534000640,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
6992,10.2,6534000640,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
7103,12.4,6535032832,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
7215,11.0,6535290880,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
7326,10.3,6535290880,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
7436,12.9,6535290880,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
7549,11.0,6535290880,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
7661,12.6,6535290880,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
7770,8.2,6535290880,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
7881,11.7,6535290880,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
7991,15.1,6535290880,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
8104,16.2,6536839168,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
8217,16.4,6537097216,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
8329,10.1,6537097216,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
8438,7.6,6537097216,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
8549,12.1,6537355264,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
8660,11.2,6537097216,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
8771,8.1,6537097216,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
8881,10.7,6537097216,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
8992,11.1,6537097216,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
9103,11.0,6538129408,26256531456,94,1015021568,2360803328,17102733312,0,0,988676096,6442319872
9215,14.6,6538387456,26256531456,94,1015021568,2360803328,17102733312,0,0,988676096,6442319872
9327,15.4,6538387456,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
9440,12.5,6538903552,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
9550,8.7,6538903552,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
9662,12.6,6538903552,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
9772,10.3,6538903552,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
9886,9.6,6538903552,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
10000,12.5,6538903552,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
10113,13.7,6538903552,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
10229,10.3,6538903552,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
10342,10.6,6538903552,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
10455,12.2,6538903552,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
10566,11.8,6538903552,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
10677,10.2,6538903552,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
10789,23.4,6536065024,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
10899,8.7,6536065024,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
11010,10.2,6536065024,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
11121,16.6,6536065024,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
11235,8.0,6536065024,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
11347,9.6,6534516736,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
11457,12.5,6519291904,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
11566,9.1,5408534528,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
